CtsUrn	VisualEvidence
urn:cts:greekLit:tlg5026.msAint.hmt:8.203	urn:cite:hmt:vaimg.VA106RN-0107@0.1094,0.6297,0.0629,0.0365
urn:cts:greekLit:tlg5026.msAint.hmt:8.202	urn:cite:hmt:vaimg.VA106RN-0107@0.1123,0.5683,0.05,0.0326
urn:cts:greekLit:tlg5026.msAint.hmt:8.201	urn:cite:hmt:vaimg.VA106RN-0107@0.1194,0.3173,0.0614,0.0491
urn:cts:greekLit:tlg5026.msAint.hmt:3.639	urn:cite:hmt:vaimg.VA050VN-0552@0.87251290,0.39294606,0.03224024,0.05145228
urn:cts:greekLit:tlg5026.msAint.hmt:3.608	urn:cite:hmt:vaimg.VA050RN-0051@0.09137804,0.47109267,0.05176861,0.02932227
urn:cts:greekLit:tlg5026.msAint.hmt:3.545	urn:cite:hmt:vaimg.VA049RN-0050@0.09690494,0.63084371,0.05619013,0.04730290
urn:cts:greekLit:tlg5026.msAint.hmt:3.532	urn:cite:hmt:vaimg.VA049RN-0050@0.10058954,0.49626556,0.05305822,0.04121715
urn:cts:greekLit:tlg5026.msAint.hmt:3.754	urn:cite:hmt:vaimg.VA049RN-0050@0.10335298,0.40995851,0.05195284,0.01894882
urn:cts:greekLit:tlg5026.msAint.hmt:3.504	urn:cite:hmt:vaimg.VA048VN-0550@0.81650700,0.57579530,0.08179808,0.01659751
urn:cts:greekLit:tlg5026.msAint.hmt:3.478	urn:cite:hmt:vaimg.VA048RN-0049@0.06521739,0.69004149,0.07313928,0.01991701
urn:cts:greekLit:tlg5026.msAint.hmt:3.469	urn:cite:hmt:vaimg.VA048RN-0049@0.09893147,0.57773167,0.02081798,0.02074689
urn:cts:greekLit:tlg5026.msAint.hmt:8.191	urn:cite:hmt:vaimg.VA105VN-0608@0.8614,0.6762,0.0457,0.0429
urn:cts:greekLit:tlg5026.msAint.hmt:3.403	urn:cite:hmt:vaimg.VA047RN-0048@0.07037583,0.57524205,0.05342668,0.04190871
urn:cts:greekLit:tlg5026.msAint.hmt:3.397	urn:cite:hmt:vaimg.VA047RN-0048@0.07184967,0.42821577,0.05655859,0.05255878
urn:cts:greekLit:tlg5026.msAint.hmt:3.394	urn:cite:hmt:vaimg.VA047RN-0048@0.07148121,0.36818811,0.04789978,0.04702628
urn:cts:greekLit:tlg5026.msAint.hmt:3.387	urn:cite:hmt:vaimg.VA046VN-0548@0.82848195,0.65615491,0.05637436,0.03637621
urn:cts:greekLit:tlg5026.msAint.hmt:3.343	urn:cite:hmt:vaimg.VA046RN-0047@0.07792926,0.52752420,0.06705969,0.08561549
urn:cts:greekLit:tlg5026.msAint.hmt:3.327	urn:cite:hmt:vaimg.VA046RN-0047@0.09690494,0.32780083,0.04513633,0.08547718
urn:cts:greekLit:tlg5026.msAint.hmt:3.322	urn:cite:hmt:vaimg.VA046RN-0047@0.09801032,0.28589212,0.04439941,0.02959889
urn:cts:greekLit:tlg5026.msAint.hmt:3.287	urn:cite:hmt:vaimg.VA045RN-0046@0.08492999,0.67316736,0.04679440,0.06362379
urn:cts:greekLit:tlg5026.msAint.hmt:3.268	urn:cite:hmt:vaimg.VA045RN-0046@0.10335298,0.43817427,0.04163596,0.03706777
urn:cts:greekLit:tlg5026.msAint.hmt:3.262	urn:cite:hmt:vaimg.VA045RN-0046@0.09764186,0.37261411,0.05840088,0.01549101
urn:cts:greekLit:tlg5026.msAint.hmt:8.190	urn:cite:hmt:vaimg.VA105VN-0608@0.8749,0.5941,0.0371,0.0487
urn:cts:greekLit:tlg5026.msAint.hmt:3.260	urn:cite:hmt:vaimg.VA045RN-0046@0.10611643,0.34730290,0.04771555,0.02420470
urn:cts:greekLit:tlg5026.msAint.hmt:3.259	urn:cite:hmt:vaimg.VA045RN-0046@0.11090641,0.32130014,0.05803242,0.02586445
urn:cts:greekLit:tlg5026.msAint.hmt:3.250	urn:cite:hmt:vaimg.VA045RN-0046@0.12675018,0.21065007,0.13006632,0.03319502
urn:cts:greekLit:tlg5026.msAint.hmt:3.241	urn:cite:hmt:vaimg.VA044VN-0546@0.85519528,0.65076072,0.03095063,0.05172891
urn:cts:greekLit:tlg5026.msAint.hmt:3.209	urn:cite:hmt:vaimg.VA044VN-0546@0.85869565,0.28035961,0.03334562,0.01645920
urn:cts:greekLit:tlg5026.msAint.hmt:3.692	urn:cite:hmt:vaimg.VA044RN-0045@0.08916728,0.67842324,0.06484893,0.05145228
urn:cts:greekLit:tlg5026.msAint.hmt:3.192	urn:cite:hmt:vaimg.VA044RN-0045@0.09137804,0.60165975,0.03297716,0.01825726
urn:cts:greekLit:tlg5026.msAint.hmt:3.176	urn:cite:hmt:vaimg.VA044RN-0045@0.08511422,0.27136929,0.05121592,0.04177040
urn:cts:greekLit:tlg5026.msAint.hmt:3.165	urn:cite:hmt:vaimg.VA043VN-0545@0.88890936,0.63526971,0.02450258,0.02378976
urn:cts:greekLit:tlg5026.msAint.hmt:3.72	urn:cite:hmt:vaimg.VA042VN-0544@0.78795136,0.40691563,0.11164333,0.03817427
urn:cts:greekLit:tlg5026.msAint.hmt:8.189	urn:cite:hmt:vaimg.VA105VN-0608@0.8651,0.4962,0.0363,0.0341
urn:cts:greekLit:tlg5026.msAint.hmt:3.55	urn:cite:hmt:vaimg.VA042RN-0043@0.06448047,0.69446750,0.11238025,0.03388658
urn:cts:greekLit:tlg5026.msAint.hmt:3.49	urn:cite:hmt:vaimg.VA042RN-0043@0.06263817,0.64273859,0.06374355,0.01728907
urn:cts:greekLit:tlg5026.msAint.hmt:3.43	urn:cite:hmt:vaimg.VA042RN-0043@0.06061164,0.59211618,0.06300663,0.04121715
urn:cts:greekLit:tlg5026.msAint.hmt:3.31	urn:cite:hmt:vaimg.VA042RN-0043@0.06521739,0.52627939,0.05711127,0.05062241
urn:cts:greekLit:tlg5026.msAint.hmt:3.28	urn:cite:hmt:vaimg.VA042RN-0043@0.06742815,0.46376210,0.05858511,0.04315353
urn:cts:greekLit:tlg5026.msAint.hmt:3.22	urn:cite:hmt:vaimg.VA042RN-0043@0.06761238,0.40995851,0.06503316,0.03070539
urn:cts:greekLit:tlg5026.msAint.hmt:3.4	urn:cite:hmt:vaimg.VA042RN-0043@0.07184967,0.28049793,0.06890199,0.02461964
urn:cts:greekLit:tlg5026.msAint.hmt:8.188	urn:cite:hmt:vaimg.VA105VN-0608@0.8574,0.2761,0.0363,0.0311
urn:cts:greekLit:tlg5026.msAint.hmt:8.175	urn:cite:hmt:vaimg.VA105RN-0106@0.1177,0.472,0.0614,0.0468
urn:cts:greekLit:tlg5026.msAint.hmt:8.174	urn:cite:hmt:vaimg.VA105RN-0106@0.1143,0.4158,0.0557,0.0309
urn:cts:greekLit:tlg5026.msAint.hmt:8.144	urn:cite:hmt:vaimg.VA104RN-0105@0.1163,0.6769,0.056,0.0386
urn:cts:greekLit:tlg5026.msAint.hmt:8.143	urn:cite:hmt:vaimg.VA104RN-0105@0.118,0.6393,0.0586,0.0393
urn:cts:greekLit:tlg5026.msAint.hmt:8.142	urn:cite:hmt:vaimg.VA104RN-0105@0.1174,0.587,0.0657,0.0393
urn:cts:greekLit:tlg5026.msAint.hmt:8.141	urn:cite:hmt:vaimg.VA104RN-0105@0.1154,0.277,0.0611,0.0251
urn:cts:greekLit:tlg5026.msAint.hmt:8.128	urn:cite:hmt:vaimg.VA103VN-0606@0.8006,0.6962,0.0537,0.0429
urn:cts:greekLit:tlg5026.msAint.hmt:8.127	urn:cite:hmt:vaimg.VA103VN-0606@0.834,0.4029,0.0397,0.0363
urn:cts:greekLit:tlg5026.msAint.hmt:8.126	urn:cite:hmt:vaimg.VA103VN-0606@0.8254,0.3806,0.0383,0.021
urn:cts:greekLit:tlg5026.msAint.hmt:8.114	urn:cite:hmt:vaimg.VA103RN-0104@0.12,0.5068,0.0626,0.0442
urn:cts:greekLit:tlg5026.msAint.hmt:8.113	urn:cite:hmt:vaimg.VA103RN-0104@0.1134,0.3913,0.0611,0.0436
urn:cts:greekLit:tlg5026.msAint.hmt:8.112	urn:cite:hmt:vaimg.VA103RN-0104@0.1134,0.2768,0.0689,0.0451
urn:cts:greekLit:tlg5026.msAint.hmt:8.94	urn:cite:hmt:vaimg.VA102VN-0605@0.8329,0.5228,0.0449,0.0193
urn:cts:greekLit:tlg5026.msAint.hmt:8.93	urn:cite:hmt:vaimg.VA102VN-0605@0.863,0.4616,0.0307,0.0358
urn:cts:greekLit:tlg5026.msAint.hmt:8.77	urn:cite:hmt:vaimg.VA102RN-0103@0.1074,0.6992,0.0614,0.0412
urn:cts:greekLit:tlg5026.msAint.hmt:8.76	urn:cite:hmt:vaimg.VA102RN-0103@0.1063,0.6151,0.0563,0.0345
urn:cts:greekLit:tlg5026.msAint.hmt:8.75	urn:cite:hmt:vaimg.VA102RN-0103@0.1163,0.5415,0.06,0.0403
urn:cts:greekLit:tlg5026.msAint.hmt:8.74	urn:cite:hmt:vaimg.VA102RN-0103@0.1094,0.3999,0.0506,0.0352
urn:cts:greekLit:tlg5026.msAint.hmt:8.56	urn:cite:hmt:vaimg.VA101VN-0604@0.8357,0.6014,0.0426,0.0193
urn:cts:greekLit:tlg5026.msAint.hmt:8.55	urn:cite:hmt:vaimg.VA101VN-0604@0.8663,0.5087,0.0294,0.0446
urn:cts:greekLit:tlg5026.msAint.hmt:8.54	urn:cite:hmt:vaimg.VA101VN-0604@0.8306,0.4581,0.0409,0.021
urn:cts:greekLit:tlg5026.msAint.hmt:8.33	urn:cite:hmt:vaimg.VA101RN-0102@0.114,0.4478,0.064,0.0345
urn:cts:greekLit:tlg5026.msAint.hmt:8.32	urn:cite:hmt:vaimg.VA101RN-0102@0.1143,0.3757,0.0663,0.0333
urn:cts:greekLit:tlg5026.msAint.hmt:2.801	urn:cite:hmt:vaimg.VA041RN-0042@0.0743,0.438,0.0477,0.0333
urn:cts:greekLit:tlg5026.msAint.hmt:2.771	urn:cite:hmt:vaimg.VA040RN-0041@0.0693,0.403,0.0603,0.0293
urn:cts:greekLit:tlg5026.msAint.hmt:2.770	urn:cite:hmt:vaimg.VA040RN-0041@0.0737,0.3234,0.0607,0.0373
urn:cts:greekLit:tlg5026.msAint.hmt:2.749	urn:cite:hmt:vaimg.VA039RN-0040@0.0721,0.4747,0.065,0.0598
urn:cts:greekLit:tlg5026.msAint.hmt:2.713	urn:cite:hmt:vaimg.VA038RN-0039@0.0757,0.4964,0.058,0.0323
urn:cts:greekLit:tlg5026.msAint.hmt:2.712	urn:cite:hmt:vaimg.VA038RN-0039@0.0833,0.2723,0.0593,0.0496
urn:cts:greekLit:tlg5026.msAint.hmt:2.703	urn:cite:hmt:vaimg.VA037VN-0539@0.863,0.4936,0.0437,0.0466
urn:cts:greekLit:tlg5026.msAint.hmt:2.702	urn:cite:hmt:vaimg.VA037VN-0539@0.8623,0.4078,0.0367,0.0423
urn:cts:greekLit:tlg5026.msAint.hmt:2.684	urn:cite:hmt:vaimg.VA037RN-0038@0.0862,0.2275,0.0654,0.0275
urn:cts:greekLit:tlg5026.msAint.hmt:2.661	urn:cite:hmt:vaimg.VA036RN-0037@0.1037,0.5084,0.0607,0.0333
urn:cts:greekLit:tlg5026.msAint.hmt:2.582	urn:cite:hmt:vaimg.VA033VN-0535@0.863,0.424,0.0453,0.0493
urn:cts:greekLit:tlg5026.msAint.hmt:2.565	urn:cite:hmt:vaimg.VA033RN-0034@0.0836,0.4572,0.0804,0.052
urn:cts:greekLit:tlg5026.msAint.hmt:2.564	urn:cite:hmt:vaimg.VA033RN-0034@0.0996,0.4379,0.0596,0.0252
urn:cts:greekLit:tlg5026.msAint.hmt:2.563	urn:cite:hmt:vaimg.VA033RN-0034@0.0813,0.3949,0.0854,0.0275
urn:cts:greekLit:tlg5026.msAint.hmt:2.562	urn:cite:hmt:vaimg.VA033RN-0034@0.0838,0.3567,0.0867,0.041
urn:cts:greekLit:tlg5026.msAint.hmt:2.561	urn:cite:hmt:vaimg.VA033RN-0034@0.0996,0.2215,0.0633,0.0444
urn:cts:greekLit:tlg5026.msAint.hmt:2.542	urn:cite:hmt:vaimg.VA032VN-0534@0.8603,0.3134,0.0297,0.0125
urn:cts:greekLit:tlg5026.msAint.hmt:2.541	urn:cite:hmt:vaimg.VA032VN-0534@0.8477,0.2533,0.0313,0.0185
urn:cts:greekLit:tlg5026.msAint.hmt:2.501	urn:cite:hmt:vaimg.VA031RN-0032@0.1142,0.6239,0.0675,0.0513
urn:cts:greekLit:tlg5026.msAint.hmt:2.500	urn:cite:hmt:vaimg.VA031RN-0032@0.1121,0.3783,0.0717,0.061
urn:cts:greekLit:tlg5026.msAint.hmt:2.462	urn:cite:hmt:vaimg.VA030RN-0031@0.0953,0.2989,0.064,0.0468
urn:cts:greekLit:tlg5026.msAint.hmt:2.461	urn:cite:hmt:vaimg.VA030RN-0031@0.0993,0.2546,0.065,0.0313
urn:cts:greekLit:tlg5026.msAint.hmt:2.440	urn:cite:hmt:vaimg.VA029VN-0531@0.806,0.2145,0.077,0.0373
urn:cts:greekLit:tlg5026.msAint.hmt:2.396	urn:cite:hmt:vaimg.VA028VN-0530@0.8112,0.5141,0.0756,0.017
urn:cts:greekLit:tlg5026.msAint.hmt:2.395	urn:cite:hmt:vaimg.VA028VN-0530@0.8503,0.3375,0.0524,0.0431
urn:cts:greekLit:tlg5026.msAint.hmt:2.394	urn:cite:hmt:vaimg.VA028VN-0530@0.835,0.2915,0.0759,0.0451
urn:cts:greekLit:tlg5026.msAint.hmt:2.341	urn:cite:hmt:vaimg.VA028RN-0029@0.0954,0.7951,0.0567,0.0263
urn:cts:greekLit:tlg5026.msAint.hmt:2.340	urn:cite:hmt:vaimg.VA028RN-0029@0.0704,0.6755,0.0929,0.0338
urn:cts:greekLit:tlg5026.msAint.hmt:2.339	urn:cite:hmt:vaimg.VA028RN-0029@0.0658,0.6277,0.0971,0.0497
urn:cts:greekLit:tlg5026.msAint.hmt:2.338	urn:cite:hmt:vaimg.VA028RN-0029@0.0638,0.6017,0.0946,0.0294
urn:cts:greekLit:tlg5026.msAint.hmt:2.337	urn:cite:hmt:vaimg.VA028RN-0029@0.0646,0.5713,0.0996,0.0141
urn:cts:greekLit:tlg5026.msAint.hmt:2.336	urn:cite:hmt:vaimg.VA028RN-0029@0.0992,0.5535,0.06,0.0222
urn:cts:greekLit:tlg5026.msAint.hmt:2.335	urn:cite:hmt:vaimg.VA028RN-0029@0.0688,0.5141,0.0921,0.0429
urn:cts:greekLit:tlg5026.msAint.hmt:2.334	urn:cite:hmt:vaimg.VA028RN-0029@0.0963,0.4678,0.0738,0.0344
urn:cts:greekLit:tlg5026.msAint.hmt:2.333	urn:cite:hmt:vaimg.VA028RN-0029@0.0654,0.3996,0.1033,0.0657
urn:cts:greekLit:tlg5026.msAint.hmt:2.332	urn:cite:hmt:vaimg.VA028RN-0029@0.0647,0.3377,0.0887,0.0646
urn:cts:greekLit:tlg5026.msAint.hmt:2.331	urn:cite:hmt:vaimg.VA028RN-0029@0.1013,0.2268,0.0567,0.0319
urn:cts:greekLit:tlg5026.msAint.hmt:2.291	urn:cite:hmt:vaimg.VA027VN-0529@0.8654,0.6036,0.0479,0.0623
urn:cts:greekLit:tlg5026.msAint.hmt:2.290	urn:cite:hmt:vaimg.VA027VN-0529@0.8421,0.5213,0.065,0.0641
urn:cts:greekLit:tlg5026.msAint.hmt:2.289	urn:cite:hmt:vaimg.VA027VN-0529@0.8033,0.4609,0.0988,0.0288
urn:cts:greekLit:tlg5026.msAint.hmt:2.288	urn:cite:hmt:vaimg.VA027VN-0529@0.8296,0.424,0.0733,0.0413
urn:cts:greekLit:tlg5026.msAint.hmt:2.287	urn:cite:hmt:vaimg.VA027VN-0529@0.8163,0.3307,0.0946,0.0454
urn:cts:greekLit:tlg5026.msAint.hmt:2.286	urn:cite:hmt:vaimg.VA027VN-0529@0.8354,0.2694,0.0633,0.0695
urn:cts:greekLit:tlg5026.msAint.hmt:2.285	urn:cite:hmt:vaimg.VA027VN-0529@0.8167,0.215,0.0667,0.0438
urn:cts:greekLit:tlg5026.msAint.hmt:2.246	urn:cite:hmt:vaimg.VA027RN-0028@0.0625,0.6461,0.0988,0.0585
urn:cts:greekLit:tlg5026.msAint.hmt:2.245	urn:cite:hmt:vaimg.VA027RN-0028@0.0875,0.5135,0.0771,0.0266
urn:cts:greekLit:tlg5026.msAint.hmt:2.244	urn:cite:hmt:vaimg.VA027RN-0028@0.0929,0.475,0.0621,0.0235
urn:cts:greekLit:tlg5026.msAint.hmt:2.243	urn:cite:hmt:vaimg.VA027RN-0028@0.065,0.3942,0.0933,0.0319
urn:cts:greekLit:tlg5026.msAint.hmt:2.242	urn:cite:hmt:vaimg.VA027RN-0028@0.0763,0.337,0.0712,0.0432
urn:cts:greekLit:tlg5026.msAint.hmt:2.196	urn:cite:hmt:vaimg.VA026VN-0528@0.8457,0.606,0.0657,0.0641
urn:cts:greekLit:tlg5026.msAint.hmt:2.195	urn:cite:hmt:vaimg.VA026VN-0528@0.8667,0.5204,0.0383,0.0343
urn:cts:greekLit:tlg5026.msAint.hmt:2.194	urn:cite:hmt:vaimg.VA026VN-0528@0.8353,0.4411,0.0563,0.0215
urn:cts:greekLit:tlg5026.msAint.hmt:2.193	urn:cite:hmt:vaimg.VA026VN-0528@0.8523,0.3176,0.0387,0.026
urn:cts:greekLit:tlg5026.msAint.hmt:2.146	urn:cite:hmt:vaimg.VA026RN-0027@0.0804,0.669,0.4663,0.0357
urn:cts:greekLit:tlg5026.msAint.hmt:2.145	urn:cite:hmt:vaimg.VA026RN-0027@0.075,0.5995,0.0721,0.0347
urn:cts:greekLit:tlg5026.msAint.hmt:2.144	urn:cite:hmt:vaimg.VA026RN-0027@0.0721,0.5166,0.0946,0.0523
urn:cts:greekLit:tlg5026.msAint.hmt:2.143	urn:cite:hmt:vaimg.VA026RN-0027@0.0854,0.4603,0.0867,0.0613
urn:cts:greekLit:tlg5026.msAint.hmt:2.142	urn:cite:hmt:vaimg.VA026RN-0027@0.0808,0.3802,0.085,0.0554
urn:cts:greekLit:tlg5026.msAint.hmt:2.141	urn:cite:hmt:vaimg.VA026RN-0027@0.0963,0.3648,0.0704,0.015
urn:cts:greekLit:tlg5026.msAint.hmt:2.140	urn:cite:hmt:vaimg.VA026RN-0027@0.0967,0.2669,0.0771,0.0635
urn:cts:greekLit:tlg5026.msAint.hmt:2.139	urn:cite:hmt:vaimg.VA026RN-0027@0.1358,0.2128,0.0354,0.0354
urn:cts:greekLit:tlg5026.msAint.hmt:2.111	urn:cite:hmt:vaimg.VA025VN-0527@0.8435,0.5798,0.0569,0.0254
urn:cts:greekLit:tlg5026.msAint.hmt:2.110	urn:cite:hmt:vaimg.VA025VN-0527@0.8292,0.4467,0.0754,0.041
urn:cts:greekLit:tlg5026.msAint.hmt:2.109	urn:cite:hmt:vaimg.VA025VN-0527@0.8292,0.2726,0.0538,0.0338
urn:cts:greekLit:tlg5026.msAint.hmt:2.74	urn:cite:hmt:vaimg.VA025RN-0026@0.0793,0.5937,0.0696,0.0311
urn:cts:greekLit:tlg5026.msAint.hmt:2.73	urn:cite:hmt:vaimg.VA025RN-0026@0.0911,0.5334,0.0804,0.0274
urn:cts:greekLit:tlg5026.msAint.hmt:2.72	urn:cite:hmt:vaimg.VA025RN-0026@0.0804,0.4358,0.0904,0.0316
urn:cts:greekLit:tlg5026.msAint.hmt:2.33	urn:cite:hmt:vaimg.VA024VN-0526@0.8788,0.6674,0.0375,0.031
urn:cts:greekLit:tlg5026.msAint.hmt:2.32	urn:cite:hmt:vaimg.VA024VN-0526@0.8888,0.4978,0.0379,0.0322
urn:cts:greekLit:tlg5026.msAint.hmt:2.15	urn:cite:hmt:vaimg.VA024RN-0025@0.0987,0.6298,0.0777,0.0295
urn:cts:greekLit:tlg5026.msAint.hmt:2.14	urn:cite:hmt:vaimg.VA024RN-0025@0.099,0.5892,0.068,0.0401
urn:cts:greekLit:tlg5026.msAint.hmt:2.13	urn:cite:hmt:vaimg.VA024RN-0025@0.1117,0.5344,0.057,0.0315
